Participant,congruent.aligned,congruent.misaligned,incongruent.aligned,incongruent.misaligned
603,3.391752108,3.24151555,2.839162854,3.391752108
604,3.175992019,3.277836117,3.277836117,2.317984955
605,1.674749893,1.344258343,1.099140167,1.833972053
606,2.374120762,1.735313756,1.634193516,2.037291597
607,2.879062942,2.801585218,2.114021221,2.400268653
608,2.281152705,2.300698761,1.805952078,2.123172799
609,2.915892478,1.971022681,0.615949927,1.905764407
610,3.083023961,2.894553276,2.801585218,2.839162854
611,2.084938671,1.634193516,1.353175152,1.609079041
612,2.413726175,1.963492991,1.770514974,2.894553276
613,2.557724111,2.317984955,1.776210525,2.47596486
614,3.680934199,3.919927969,3.886256355,3.919927969
615,3.886256355,3.391752108,3.399495455,3.110313365
616,2.18678277,3.24151555,1.791848416,2.194946497
617,3.110313365,3.084385098,2.795203007,3.24151555
618,2.319343377,2.413726175,1.279815539,1.666872032
619,2.795203007,3.604817611,2.926405192,2.721083036
620,2.839162854,2.839162854,1.198890263,1.71092314
621,3.084385098,3.24151555,2.194946497,2.721083036
622,2.915892478,2.319343377,2.839162854,2.579442918
8201,2.681287016,1.71092314,1.905764407,1.869178582
8202,2.894553276,1.735313756,1.905764407,1.289780493
8203,3.289707254,3.919927969,2.431900946,2.721083036
8204,1.534898669,1.644853627,1.140735493,1.376824693
8205,4.482805455,4.482805455,3.919927969,4.201366712
8206,3.680934199,2.996397374,3.24151555,3.919927969
8207,3.919927969,3.886256355,2.317984955,3.680934199
8208,3.604817611,2.996397374,2.894553276,3.084385098
8209,3.886256355,2.879062942,1.963931984,3.680934199
8210,2.300698761,2.484364497,1.429904777,1.71092314
8212,2.926405192,1.905764407,1.776210525,1.516110984
8213,3.399495455,2.996397374,1.971022681,2.879062942
8214,2.374120762,2.216140857,3.604817611,2.681287016
8215,2.634453735,2.194946497,1.07405439,1.604111571
8216,1.893293661,1.535669847,1.120892107,1.758170835
8217,2.114021221,1.388351481,1.162094736,1.758170835
8218,2.721083036,2.721083036,2.084938671,2.801585218
8221,3.277836117,2.915892478,2.213311088,2.634453735
8222,3.399495455,2.894553276,2.795203007,3.24151555
8223,3.604817611,2.879062942,3.24151555,1.791848416
8224,3.604817611,2.681287016,2.072866779,2.123172799
8225,3.277836117,2.76580324,2.996397374,3.24151555
8226,1.048801025,0.895397928,0.933129523,1.3489795
8227,2.18678277,1.824839131,1.748109506,1.879311692
8228,3.289707254,3.399495455,3.391752108,3.522954293
8229,2.374120762,2.486474861,2.281152705,3.175992019
8230,2.400268653,2.839162854,2.76580324,2.494749831
8231,2.262973958,2.915892478,2.626723194,2.413726175
8233,2.589880851,2.589880851,1.878054623,1.971022681
8234,2.926405192,3.399495455,2.589880851,3.680934199